iteration,mode,remaining_core,lp7_status,lp7_value,lp10_status,lp10_value,active_targets,support_added,reconstruction_size,core_covered,ignored_core
108,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
109,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
110,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
111,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
112,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
113,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
114,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
115,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
116,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
117,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
118,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
119,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
120,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
121,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
122,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
123,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
124,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
125,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
126,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
127,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
128,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
129,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
130,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
131,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
132,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
133,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
134,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
135,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
136,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
137,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
138,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
139,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
140,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
141,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
142,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
143,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
144,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
145,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
146,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
147,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
148,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
149,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
150,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
151,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
152,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
153,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
154,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
155,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
156,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
157,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
158,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
159,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
160,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
161,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
162,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
163,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
164,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
165,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
166,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
167,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
168,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
169,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
170,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
171,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
172,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
173,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
174,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
175,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
176,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
177,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
178,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
179,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
180,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
181,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
182,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
183,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
184,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
185,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
186,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
187,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
188,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
189,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
190,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
191,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
192,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
193,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
194,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
195,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
196,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
197,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
198,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
199,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
200,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
